AETHALOMETER
Serial number = AE33-C06-00589
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;
2018/01/15 00:44:00 60 936429 384356 607830 897960 453488 645461 891446 498504 701984 907471 556451 760083 854634 607135 789697 669526 672577 823296 716887 660799 832773 3583 1421 5004 101325 21.11 19.5 26 41 0 0 10 10 00000 26 209 364 440 255 328 421 260 361 396 276 352 398 265 368 365 260 312 322 290 389 351 0.006628241 0.006754646 0.006869971 0.00701457 0.007266029 0.00674726 0.00654876 133
2018/01/15 00:45:00 60 936371 384200 607671 897866 453297 645287 891403 498332 701854 907350 556242 759890 854563 606942 789549 669445 672363 823130 716765 660568 832572 3583 1421 5004 101325 21.11 18.5 26 39 0 0 10 10 00000 26 267 390 561 312 409 514 323 376 492 299 376 432 325 364 448 363 375 450 357 357 432 0.006625483 0.00674986 0.006862612 0.007007639 0.007255401 0.00673013 0.006529274 133
2018/01/15 00:46:00 60 936412 384094 607572 897905 453200 645228 891434 498236 701794 907407 556154 759854 854616 606865 789523 669488 672308 823116 716808 660503 832560 3583 1421 5004 101325 21.11 9.4 26 39 0 0 10 10 00000 26 248 404 522 253 335 418 248 330 377 273 343 394 261 331 360 269 377 333 315 373 382 0.006623338 0.006745285 0.006857393 0.007000734 0.007247565 0.006723354 0.006516429 133
2018/01/15 00:47:00 60 936411 383975 607450 897902 453076 645127 891411 498103 701679 907373 556011 759735 854562 606712 789398 669462 672179 823029 716816 660431 832516 3583 1421 5004 101325 21.11 50.6 26 40 0 0 10 10 00000 26 239 390 504 266 380 439 263 379 400 272 371 391 261 332 360 282 311 349 239 321 289 0.006621191 0.006741462 0.006853269 0.006995247 0.007239833 0.006708965 0.006506945 133
2018/01/15 00:48:00 60 936445 383864 607340 897959 452966 645049 891441 497984 701603 907411 555895 759668 854611 606611 789345 669525 672130 823033 716837 660328 832464 3583 1421 5004 101325 21.11 11.2 26 40 0 0 10 10 00000 26 252 425 531 301 458 497 297 390 452 310 405 446 310 434 426 308 415 380 369 461 446 0.006619277 0.006738477 0.006847867 0.006989192 0.007234788 0.006701792 0.006497315 133
2018/01/15 00:49:00 60 936447 383746 607219 897920 452830 644931 891414 497853 701485 907385 555769 759560 854582 606479 789239 669493 671990 822926 716812 660211 832379 3583 1421 5004 101325 21.11 21.3 25 40 0 0 10 10 00000 26 240 393 505 253 346 417 254 379 386 245 354 353 254 350 350 296 382 366 283 337 343 0.006617201 0.006734316 0.006844286 0.006984649 0.00722883 0.006692866 0.006484689 133
2018/01/15 00:50:00 60 936470 383636 607100 897928 452706 644833 891435 497738 701403 907418 555660 759504 854624 606372 789188 669529 671919 822904 716862 660159 832369 3583 1421 5004 101325 21.11 27.8 26 40 0 0 10 10 00000 26 241 431 508 278 399 459 277 386 422 287 343 414 312 397 430 294 374 363 296 410 357 0.006615642 0.006730633 0.006839793 0.006977029 0.007221393 0.006683605 0.006478259 133
2018/01/15 00:51:00 60 936423 383495 606942 897908 452576 644725 891435 497616 701309 907355 555501 759354 854576 606228 789064 669496 671768 822789 716812 660008 832244 3583 1421 5004 101325 21.11 12.1 25 40 0 0 10 10 00000 26 246 411 518 261 360 430 267 368 406 268 399 386 251 352 345 323 420 399 317 404 383 0.00661371 0.006726636 0.006835214 0.006973356 0.007215946 0.006675553 0.006469002 133
2018/01/15 00:52:00 60 936378 383357 606797 897877 452432 644596 891400 497470 701185 907354 555380 759259 854550 606089 788950 669435 671595 822643 716786 659876 832144 3583 1421 5004 101325 21.11 16.5 26 41 0 0 10 10 00000 26 242 373 509 279 411 460 277 378 421 268 386 386 275 398 379 307 401 379 326 421 394 0.006611354 0.006723318 0.006830511 0.006969128 0.007211508 0.006667712 0.006460546 133
2018/01/15 00:53:00 60 936416 383267 606706 897908 452329 644519 891439 497375 701123 907376 555263 759185 854576 605994 788910 669493 671558 822650 716849 659847 832158 3583 1421 5004 101325 21.11 33.5 26 41 0 0 10 10 00000 26 213 372 450 258 382 426 256 363 389 290 379 418 259 283 356 261 363 323 262 357 317 0.006609608 0.006719955 0.006826271 0.00696309 0.007201198 0.006661028 0.006452754 133
